Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,Beginner,4.5,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,"From the course: ""The best way to prepare for the exam is to be competent in the skills required of the job.""  This course uses a top-down approach to recognize knowledge and skills already known, and to surface information and skill areas for additional preparation. You can use this course to help create your own custom preparation plan. It helps you distinguish what you know from what you don't know. And it helps you develop and practice skills required of practitioners who perform this job.  The course follows the organization of the Exam Guide outline, presenting highest-level concepts, ""touchstones"", for you to determine whether you feel confident about your knowledge of that area and its dependent concepts, or if you want more study. You also will learn about and have the opportunity to practice key job skills, including cognitive skills such as case analysis, identifying technical watchpoints, and developing proposed solutions. These are job skills that are also exam skills. You will also test your basic abilities with Activity Tracking Challenge Labs. And you will have many sample questions similar to those on the exam, including solutions. The end of the course contains an ungraded practice exam quiz, followed by a graded practice exam quiz that simulates the exam-taking experience.  New! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud Enroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate  or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits;   => Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching  => 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests",business requirements  Cloud Computing  Google Cloud Platform  information engineering  Cloud Platforms  google cloud dataproc  dataflow  Databases  bigquery  Machine Learning information-technology cloud-computing
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,Advanced,5,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk,"In this 1-hour long project-based course, you will learn how to create a Node.js RESTful API & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Express.js, or simply Express, a back end web application framework for Node.js framework to create your RESTful API & AWS desktop management console to deploy the RESTful API to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your API applications & also, monitoring your AWS servers using Elastic Beanstalk Management Console.  Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",representational state transfer  uniform resource locator  Cloud Computing  web application  ordered pair  hypertext transfer protocol  virtual private server  web  application programming interfaces  Switches information-technology cloud-computing
Hybrid Cloud Service Mesh with Anthos,Google Cloud,Beginner,4.8,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos,"This on-demand course equips students to understand and adopt Istio-based service-mesh with Anthos for centralized observability, traffic management, and service-level security.",authentication  multiplexed transport layer security  it service management  authorization  service discovery  load balancing  application layer  access control  intelligent network  traffic management information-technology cloud-computing
Dealing With Missing Data,"University of Maryland, College Park",Advanced,3.5,https://www.coursera.org/learn/missing-data,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.  Among the techniques discussed are adjustments using estimated response propensities, poststratification, raking, and general regression estimation.  Alternative techniques for imputing values for missing items will be discussed.  For both weighting and imputation, the capabilities of different statistical software packages will be covered, including R�, Stata�, and SAS�.",Estimation  Weighting  population control  sample size determination  Surveying  Missing Data  Stata  Regression  coverage error  sampling frame data-science data-analysis
COBOL Programming with VSCode,IBM,Beginner,4.7,https://www.coursera.org/learn/cobol-programming-vscode,"Professor Tak Auyeung of American River College, said it beautifully, �A programming language is not a fashion statement� it is used for a purpose. Whether it is to add new features, modify logic, create APIs to integrate it into other applications, or implement modern development practices, businesses around the world need application developers who know COBOL.  This introductory COBOL course helps a novice learn the Structure of COBOL programs, Data types & Variable Handling, Intrinsic Functions, Branching logic and more. The goal of the course is to enable the participant to be able to write basic COBOL programs. This is a fantastic compliment to the IBM z/OS Practitioner path for the IBM Mainframe.  Join the COBOL Fridays web series. These webinars are curated for first-time programmers, lifelong learners, and anyone who's interested in learning COBOL. http://ibm.biz/cfcoursera  On successful completion of this course, learners are eligible to earn their COBOL Programming with VSCode badge.",ibm cobol  numbers (spreadsheet)  relative change and difference  Computer Programming  data type  cobol  reserved word  Arithmetic  Mainframe  Continuous Function computer-science software-development
Cryptography and Hashing Overview,"University of California, Irvine",Conversant,4.7,https://www.coursera.org/learn/crypto-hashing,"Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling. This course also demystifies cryptography and hashing, which are critical for authenticating users and guaranteeing transaction privacy.  This course requires the purchase of two books for the completion of assignments:  Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032) Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065)",Average  Cryptography  encryption  hash function  public-key cryptography  string (computer science)  verification and validation  hashing  password  BlockChain computer-science algorithms
Postman - Intro to APIs (without coding),Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/laura-gemmell-intro-postman-apis,"We use APIs everyday - when we check the news, when we log into online service - because APIs are used by many companies as a way to interact with their product or service. Being able understand and send API requests is helpful in many roles across the business - including product, marketing and data. If you work alongside or interact with APIs in your job, or you want to use APIs in your tech or data projects, this course is a great introduction to interacting with APIs without writing could (using a program called Postman). By the end of this project, you will understand what APIs are and what they are used for. You will have interacted with a number of APIs, and recognise the different parts which make up an API. You will feel comfortable reading API documentation and writing your own requests.",project mine  Marketing  news  network news transfer protocol  project  Writing  application programming interfaces  uniform resource locator  numbers (spreadsheet)  interact information-technology data-management
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Coursera Project Network,Beginner,3.7,https://www.coursera.org/learn/ocr-text-detection-tensorflow-opencv-tesseract,"In this 1-hour long project-based course, you will learn how to collect and label images and use them to train a Tensorflow CNN (convolutional neural network) model to recognize relevant areas of (typeface) text in any image, video frame or frame from webcam video. You will learn how to extract image segments that your detector has identified as containing text and enhance them using various image filters from the OpenCV module. Then you will learn how to pass the result image to Google's open-source OCR (Optical Character Recognition) software using the pytesseract python library and read the text to whatever form of output you like.   All of this will be done on Windows, but can be accomplished with very little alteration on Linux as well. We will be using the IDLE development environment to write a single script to scan our video, webcam input, or array of images for text and read that text into our output. Tensorflow, the Tensorflow Object Detection API, Tesseract, the pytesseract library, labelImg for image annotation, OpenCV, and all other required software has already been installed for you in your Rhyme desktop.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",image processing  openbsd  optical character recognition  digital image processing  Python Programming  Tensorflow  region of interest  object detection  opencv  Machine Learning data-science machine-learning
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,"This course gives you the background needed to understand basic Cybersecurity.  You will learn the history of Cybersecurity, types and motives of cyber attacks to further your knowledge of current threats to organizations and individuals.  Key terminology, basic system concepts and tools will be examined as an introduction to the Cybersecurity field.  You will learn about critical thinking and its importance to anyone looking to pursue a career in Cybersecurity.  Finally, you will begin to learn about organizations and resources to further research cybersecurity issues in the Modern era.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the first course in a series of courses to acquire the skills to work in the Cybersecurity field as a Jr Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Introduction to Cybersecurity Tools & Cyber Attacks IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/introduction-to-cybersecurity-tools-cyber-attacks  Want to see if this is a good career fit for you?  IBM is collaborating with MyInnerGenius, one of the world's leading assessment companies, to help you find out which careers in IT you will love -- careers that are a great match for you -- regardless of your education or experience -- even if you�ve never considered a role in IT.    In less than an hour, you will receive targeted recommendations for hot roles where you will excel and everything you need to get started. You can even earn IBM Digital Badges to show the world your skills!  Find out more http://ibm.myinnergenius.com/",cyber-security regulation  cyber security standards  forensics  security  digital forensics  cybercrime  Cryptography  Cyberattacks  Leadership and Management  penetration test information-technology cloud-computing
Foundations of Objective-C App Development,"University of California, Irvine",Beginner,4.7,https://www.coursera.org/learn/objective-c,"An introduction to the Objective-C programming language.  This will prepare you for more extensive iOS app development and build a foundation for Advanced iOS development topics.  Objective-C programming requires a Mac laptop or desktop computer.  An iOS device is optional if the learner is willing to working exclusively with the simulator.  Some learners have been able to work with an OS X virtual machine on Windows, but explaining how to do that is beyond the scope of this course.  Upon completing this course, you will be able to: 1.       Read and write Objective-C 2.       Have a strong grasp of Objective-C objects 3.       Organize their code professionally using objects and blocks 4.       Prototype several entry-level apps",iOS Development  printf format string  xcode  c programming  Computer Programming  euler's totient function  objective-c  Swift Programming  c++  ordered pair computer-science mobile-and-web-development
Programming Mobile Applications for Android Handheld Systems: Part 2,"University of Maryland, College Park",Advanced,4.7,https://www.coursera.org/learn/android-programming-2,"This course introduces you to the design and implementation of Android applications for mobile devices. You will build upon concepts from the prior course, including handling notifications, using multimedia and graphics and incorporating touch and gestures into your apps.",notification area  interaction technique  Android Development  Software Engineering  mobile app  shell (computing)  widget (gui)  php  graphical user interface elements  Databases computer-science mobile-and-web-development
Integrating Scripts for Scene Interactions,Unity,Advanced,4.8,https://www.coursera.org/learn/integrating-scripts-for-scene-interactions,"Welcome to Integrating Scripts for Scene Interactions, the third course in the Unity Certified 3D Artist Specialization from Unity Technologies.  The courses in this series will help you prepare for the Unity Certified 3D Artist exam, the professional certification for entry- to mid-level Unity artists. 3D artists are critical to the Unity development pipeline. They are a bridge between the programmers writing the application code and the designers or art directors who define the application�s aesthetics and style. In these courses, you will be challenged to complete realistic art implementation tasks in Unity that are aligned to the topics covered on the exam.  In this third course, you will complete work on the Kitchen Configurator application - an app that lets users view a realistic rendering of a kitchen and swap out objects and materials to customize the design. Now you�ll work on the allowing users to actually interact with your beautiful design. You�ll implement a User Interface (UI) in Unity and add some pre-written scripts to the project to make it interactive. Finally, you�ll adapt the project to VR with by bringing the UI into world space. By the end of the course, you�ll have a functioning Kitchen Configurator app that would be ready to take to the final stages of production and launch.  This is an intermediate course, intended for people who are ready for their first paying roles as Unity 3D artists, or enthusiasts who would like to verify their skills against a professional standard. To succeed, you should have at least 1-2 years of experience implementing 3D art in Unity. You should be proficient at importing assets into Unity from Digital Content Creation (DCC) tools, prototyping scenes, working with lighting, and adding particles and effects. You should also have a basic understanding of 2D asset management, animation, and working with scripts. You should have experience in the full product development lifecycle, and understand multi-platform development, including for XR (AR and VR) platforms.",Switches  interactivity  experience  ordered pair  video game development  Computer Programming  computer animation  project  User Experience  Visual Design computer-science design-and-product
Prediction and Control with Function Approximation,University of Alberta,Beginner,4.8,https://www.coursera.org/learn/prediction-control-function-approximation,"In this course, you will learn how to solve problems with large, high-dimensional, and potentially infinite state spaces. You will see that estimating value functions can be cast as a supervised learning problem---function approximation---allowing you to build agents that carefully balance generalization and discrimination in order to maximize reward. We will begin this journey by investigating how our policy evaluation or prediction methods like Monte Carlo and TD can be extended to the function approximation setting. You will learn about feature construction techniques for RL, and representation learning via neural networks and backprop. We conclude this course with a deep-dive into policy gradient methods; a way to learn policies directly without learning a value function. In this course you will solve two continuous-state control tasks and investigate the benefits of policy gradient methods in a continuous-action environment.   Prerequisites: This course strongly builds on the fundamentals of Courses 1 and 2, and learners should have completed these before starting this course.  Learners should also be comfortable with probabilities & expectations, basic linear algebra, basic calculus, Python 3.0 (at least 1 year), and  implementing algorithms from pseudocode.  By the end of this course, you will be able to:   -Understand how to use supervised learning approaches to approximate value functions -Understand objectives for prediction (value estimation) under function approximation -Implement TD with function approximation (state aggregation), on an environment with an infinite state space (continuous state space) -Understand fixed basis and neural network approaches to feature construction  -Implement TD with neural network function approximation in a continuous state environment -Understand new difficulties in exploration when moving to function approximation -Contrast discounted problem formulations for control versus an average reward problem formulation -Implement expected Sarsa and Q-learning with function approximation on a continuous state control task -Understand objectives for directly estimating policies (policy gradient objectives) -Implement a policy gradient method (called Actor-Critic) on a discrete state environment",reinforcement  Gradient  gradient descent  Reinforcement Learning  approximation  markov decision process  euler's totient function  function approximation  Human Learning  table of keyboard shortcuts data-science machine-learning
Python Tricks and Hacks for Productivity,Coursera Project Network,Advanced,4.1,https://www.coursera.org/learn/python-hacks,"By the end of this project, you are going to be an more complete Python user, and will have an better grasp of several techniques and tips which increases coding speed and conciseness. This will be useful for anyone who uses Python regularly, including data scientists, software engineers, technicians and hobbyists.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Computer Programming  Transpose  concision  Python Programming  Software Engineering  grasp  project  Operations Management  progress bar  dict computer-science software-development
Introduction to Recommender Systems:  Non-Personalized and Content-Based,University of Minnesota,Beginner,4.3,https://www.coursera.org/learn/recommender-systems-introduction,"This course, which is designed to serve as the first course in the Recommender Systems specialization, introduces the concept of recommender systems, reviews several examples in detail, and leads you through non-personalized recommendation using summary statistics and product associations, basic stereotype-based or demographic recommendations, and content-based filtering recommendations.   After completing this course, you will be able to compute a variety of recommendations from datasets using basic spreadsheet tools, and if you complete the honors track you will also have programmed these recommendations using the open source LensKit recommender toolkit.    In addition to detailed lectures and interactive exercises, this course features interviews with several leaders in research and practice on Advanced topics and current directions in recommender systems.",demography  Tf Idf  Summary Statistics  recommender systems  information retrieval  recursively enumerable set  personalization  preference  tracking  Machine Learning data-science machine-learning
Smart Contracts,The State University of New York,Advanced,4.6,https://www.coursera.org/learn/smarter-contracts,"This second course of the Blockchain specialization will help you design, code, deploy and execute a smart contract � the computational element of the blockchain technology. Smart contracts allow for implementing user-defined operations of arbitrary complexity that are not possible through plain cryptocurrency protocols. They allow users to implement conditions, rules and policies of the domain applications. Smart contracts are a powerful feature that, when properly designed and coded, can result in autonomous, efficient and transparent systems.   You will design and program smart contracts in Solidity language, test and deploy them in the Remix development environment, and invoke them from a simple web interface that Remix provides. This course features best practices for designing solutions with smart contracts using Solidity and Remix IDE.  Main concepts are delivered through videos, demos and hands-on exercises.",client (computing)  BlockChain  access modifiers  interfaces  tracing (software)  teleprocessing monitor  smart contract  deployment environment  ethereum  solidity computer-science software-development
Create an FPS Weapon in Unity (Part 1 - Revolver),Coursera Project Network,Advanced,5,https://www.coursera.org/learn/create-fps-weapon-unity-revolver,"In this one-hour, project-based course, you'll learn how to set up a revolver for a first-person shooter. This project covers configuring a gun prefab, enabling your FPS player to pick up, hold, fire and drop a gun with keyboard and mouse inputs, and adding an aiming reticle.  The guided project will introduce you to the following Unity concepts: - Prefabs - Animation - UI Canvas - UI Image - Raycasting - Coding techniques including the Input class, KeyCodes and Interfaces  This is Part 1 of a four-part series on creating a weapon for your FPS game. Part 2 covers creating visual effects when your player fires the gun. Part 3 will show you how to set up the weapon's properties and damage effects to apply to destroyable targets. Lastly, Part 4 will walk you through the steps for adding ammunition, reloading the weapon and creating magazines and other weapons.  This is a stand-alone guided project, and also serves as an optional but recommended foundation for the ""FPS Weapon"" series.  This series makes use of the western-themed Unity project first created in Control physics with C# in Unity and the VM-compatible FPS Player script written in Create a VM Compatible First Person Camera. These compliment this guided project and, although not prerequisites, are recommended for a more well-rounded understanding of the concepts presented herein.",gamification of learning  project  process  .properties  hold  java annotation  source lines of code  e-nable  teaching method  parenting computer-science software-development
Predictive Modeling and Analytics,University of Colorado Boulder,Advanced,3,https://www.coursera.org/learn/predictive-modeling-analytics,"Welcome to the second course in the Data Analytics for Business specialization!   This course will introduce you to some of the most widely used predictive modeling techniques and their core principles. By taking this course, you will form a solid foundation of predictive analytics, which refers to tools and techniques for building statistical or machine learning models to make predictions based on data. You will learn how to carry out exploratory data analysis to gain insights and prepare data for predictive modeling, an essential skill valued in the business.   You�ll also learn how to summarize and visualize datasets using plots so that you can present your results in a compelling and meaningful way. We will use a practical predictive modeling software, XLMiner, which is a popular Excel plug-in. This course is designed for anyone who is interested in using data to gain insights and make better business decisions. The techniques discussed are applied in all functional areas within business organizations including accounting, finance, human resource management, marketing, operations, and strategic planning.   The expected prerequisites for this course include a prior working knowledge of Excel, introductory level algebra, and basic statistics.",Logistic Regression  analytics  predictive analytics  Regression  Data Analysis  Regression Analysis  supply chain  analysis  linear regression  predictive modelling data-science data-analysis
Packet Switching Networks and Algorithms,University of Colorado System,Advanced,4.6,https://www.coursera.org/learn/packet-switching-networks-algorithms,"In this course, we deal with the general issues regarding packet switching networks. We discuss packet networks from two perspectives. One perspective involves external view of the network, and is concerned with services that the network provides to the transport layer that operates above it at the end systems. The second perspective is concerned with the internal operation of a network, including approaches directing information across the network, addressing and routing procedures, as well as congestion control inside the network.",packet switching  traffic management  network layer  routing  random early detection  network topology  token bucket  routing protocol  topology  open shortest path first computer-science computer-security-and-networks
Mastering SQL Joins,Coursera Project Network,Advanced,4,https://www.coursera.org/learn/mastering-sql-joins,"In this 2-hour long project-based course, you will understand how to use SQL joins like INNER JOIN, LEFT JOIN, and RIGHT JOIN to get a desired result set. In addition, you will learn how to use SQL Joins with the WHERE clause and with aggregate functions. By extension, you will learn how to join more than two tables in the database.  Note: You do not need to be a data administrator or data analyst expert to be successful in this guided project, just you have to be familiar with querying databases using SQL SELECT statement to get the most of this project. If you are not familiar with SQL and want to learn the basics, start with my previous guided projects titled �Performing Data definition and Manipulation in SQL"", �Querying Databases using SQL SELECT statement� and �Performing Data Aggregation using SQL Aggregate Functions�",aggregate function  project  employment  sorting  more than two  modulo operation  Data Analysis  euler's totient function  project mine  ascendency data-science data-analysis
Create a Database with the Modeling Tool in MySQL Workbench,Coursera Project Network,Intermediate,4.7,https://www.coursera.org/learn/create-database-with-modeling-tool-mysql-workbench,"In this course you will use the Modeling and Design Tool in MySQL Workbench to design and create a multiple-table relational database. As a DBMS (database management system), MySQL is used by many organizations for managing a variety of types and sizes of databases. MySQL Workbench acts as an integrated development environment allowing users to work with relational databases using a visual user interface rather than the command line.  Hands-on activities include using the Modeling and Design Tool to draw a database design diagram, generating the database from that diagram, and then using MySQL Workbench features to load data into the database tables.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Databases  java annotation  integrated development environments  mysql  database management systems  user interface  mysql workbench  table (database)  relational database  Database Design information-technology data-management
Project Planning and Machine Learning,University of Colorado Boulder,Beginner,4.4,https://www.coursera.org/learn/industrial-iot-project-planning-machine-learning,"This course can also be taken for academic credit as ECEA 5386, part of CU Boulder�s Master of Science in Electrical Engineering degree.  This is part 2 of the specialization. In this course students will learn :   * How to staff, plan and execute a project   * How to build a bill of materials for a product   * How to calibrate sensors and validate sensor measurements   * How hard drives and solid state drives operate   * How basic file systems operate, and types of file systems used to store big data   * How machine learning algorithms work - a basic introduction   * Why we want to study big data and how to prepare data for machine learning algorithms",Machine Learning Algorithms  Planning  internet of things  project  process  system u  project planning  Big Data  project plan  Machine Learning computer-science design-and-product
